TITLE,TYPE,RELEASE YEAR,COUNTRY PRODUCED,CAST,RATING,DURATION,GENRE,DESCRIPTION
Messiah,TV Show,2020,United States,"Michelle Monaghan, Mehdi Dehbi, John Ortiz, Tomer Sisley, Melinda Page Hamilton, Stefania LaVie Owen, Sayyid El Alami, Jane Adams, Wil Traval, Fares Landoulsi",TV-MA,1 Season,"TV Dramas, TV Thrillers",A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.
Medical Police,TV Show,2020,United States,"Erinn Hayes, Rob Huebel, Malin Akerman, Rob Corddry, Lake Bell, Sarayu Blue, Ken Marino, Fred Melamed, Tom Wright, Jason Schwartzman, Eric Nenninger, Megan Le, Beth Dover, Zandy Hartig, Brian Huskey, Michael Cera",TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.
Killer Inside: The Mind of Aaron Hernandez,TV Show,2020,United States,Aaron Hernandez,TV-MA,1 Season,"Crime TV Shows, Docuseries","Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer."
"Sex, Explained",TV Show,2020,United States,Janelle Monáe,TV-MA,1 Season,"Docuseries, Science & Nature TV","From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series."
Kipo and the Age of Wonderbeasts,TV Show,2020,United States,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",TV-Y7-FV,1 Season,"Kids' TV, TV Comedies","Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew."
Leslie Jones: Time Machine,Movie,2020,United States,Leslie Jones,TV-MA,66 min,Stand-Up Comedy,"From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special."
Go! Go! Cory Carson,TV Show,2020,United States,"Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain",TV-Y,1 Season,Kids' TV,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills."
Maradona in Mexico,TV Show,2020,"Argentina, United States, Mexico",Diego Armando Maradona,TV-MA,1 Season,"Docuseries, Spanish-Language TV Shows","In this docuseries, soccer great Diego Maradona comes to Culiacán, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too."
AJ and the Queen,TV Show,2020,United States,"RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere",TV-14,1 Season,"TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway."
Bulletproof 2,Movie,2020,United States,"Faizon Love, Kirk Fox, Tony Todd, Pearl Thusi, Cassie Clare, Fiona Ramsey, Neels Clasen, Roxy Nel",TV-MA,97 min,"Action & Adventure, Comedies",A special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.
Black Lightning,TV Show,2019,United States,"Cress Williams, James Remar, Marvin 'Krondon' Jones III, Jill Scott, China Anne McClain, Damon Gupton, Nafessa Williams, Christine Adams",TV-14,2 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
The Black Godfather,Movie,2019,United States,"Clarence Avant, Quincy Jones",TV-MA,118 min,"Documentaries, Music & Musicals","This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics."
Miranda Sings Live…Your Welcome,Movie,2019,United States,Colleen Ballinger,TV-14,62 min,Stand-Up Comedy,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry."""
Anthony Jeselnik: Fire in the Maternity Ward,Movie,2019,United States,Anthony Jeselnik,TV-MA,64 min,Stand-Up Comedy,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York."
Malibu Rescue: The Series,TV Show,2019,United States,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeremy Howard, JT Neal, Bryana Salaz, Ian Ziering, Camaron Engels",TV-G,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies","On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs."
Santa Clarita Diet,TV Show,2019,United States,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",TV-MA,3 Seasons,"TV Comedies, TV Horror, TV Thrillers",They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.
